Beta_delta,Active PSM,Private PSM,Public PSM,Active pop,Private pop,Public pop,Avg travel cost
11.2,0.6258,0.5327,0.7987,"[163214.0, 167091.0, 158707.0, 162391.0]","[19053.0, 23364.0, 25879.0, 33386.0]","[486212.0, 529824.0, 546917.0, 537289.0]","[1456.52, 1658.39, 2431.12, 2939.2]"
11.4,0.6257,0.5298,0.7987,"[163441.0, 167354.0, 159002.0, 162718.0]","[18577.0, 22776.0, 25179.0, 32544.0]","[486460.0, 530150.0, 547322.0, 537804.0]","[1456.52, 1658.39, 2431.12, 2939.3]"
11.6,0.6257,0.527,0.7987,"[163661.0, 167608.0, 159288.0, 163036.0]","[18120.0, 22210.0, 24506.0, 31732.0]","[486697.0, 530462.0, 547708.0, 538297.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
11.8,0.6257,0.5242,0.7986,"[163874.0, 167855.0, 159565.0, 163346.0]","[17679.0, 21664.0, 23860.0, 30950.0]","[486925.0, 530762.0, 548078.0, 538769.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
12.0,0.6256,0.5215,0.7986,"[164080.0, 168094.0, 159833.0, 163648.0]","[17254.0, 21138.0, 23239.0, 30196.0]","[487144.0, 531049.0, 548431.0, 539221.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
12.2,0.6256,0.5187,0.7986,"[164280.0, 168326.0, 160092.0, 163942.0]","[16844.0, 20630.0, 22642.0, 29468.0]","[487354.0, 531324.0, 548769.0, 539655.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
12.4,0.6256,0.5161,0.7986,"[164474.0, 168551.0, 160344.0, 164228.0]","[16448.0, 20141.0, 22067.0, 28766.0]","[487556.0, 531588.0, 549092.0, 540071.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
12.6,0.6255,0.5134,0.7986,"[164662.0, 168770.0, 160587.0, 164506.0]","[16066.0, 19668.0, 21514.0, 28088.0]","[487750.0, 531842.0, 549402.0, 540471.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
12.8,0.6255,0.5108,0.7985,"[164844.0, 168982.0, 160823.0, 164778.0]","[15697.0, 19212.0, 20981.0, 27433.0]","[487937.0, 532086.0, 549698.0, 540854.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
13.0,0.6255,0.5082,0.7985,"[165021.0, 169188.0, 161052.0, 165042.0]","[15341.0, 18771.0, 20468.0, 26800.0]","[488116.0, 532321.0, 549983.0, 541222.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
13.2,0.6254,0.5056,0.7985,"[165192.0, 169389.0, 161274.0, 165300.0]","[14996.0, 18345.0, 19973.0, 26189.0]","[488289.0, 532546.0, 550255.0, 541576.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
13.4,0.6254,0.503,0.7985,"[165359.0, 169583.0, 161490.0, 165551.0]","[14663.0, 17933.0, 19496.0, 25597.0]","[488456.0, 532763.0, 550517.0, 541917.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
13.6,0.6254,0.5005,0.7985,"[165521.0, 169773.0, 161699.0, 165796.0]","[14341.0, 17535.0, 19036.0, 25025.0]","[488616.0, 532973.0, 550768.0, 542244.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
13.8,0.6253,0.498,0.7984,"[165678.0, 169956.0, 161901.0, 166034.0]","[14029.0, 17150.0, 18592.0, 24472.0]","[488771.0, 533174.0, 551010.0, 542559.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
14.0,0.6253,0.4956,0.7984,"[165830.0, 170135.0, 162098.0, 166267.0]","[13727.0, 16777.0, 18163.0, 23936.0]","[488920.0, 533368.0, 551242.0, 542862.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
14.2,0.6253,0.4932,0.7984,"[165979.0, 170309.0, 162289.0, 166494.0]","[13435.0, 16415.0, 17748.0, 23417.0]","[489064.0, 533556.0, 551465.0, 543155.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
14.4,0.6252,0.4908,0.7984,"[166123.0, 170478.0, 162475.0, 166715.0]","[13152.0, 16066.0, 17348.0, 22914.0]","[489203.0, 533736.0, 551680.0, 543436.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
14.6,0.6252,0.4884,0.7984,"[166263.0, 170643.0, 162655.0, 166930.0]","[12878.0, 15727.0, 16961.0, 22427.0]","[489338.0, 533911.0, 551887.0, 543708.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
14.8,0.6252,0.4861,0.7984,"[166399.0, 170803.0, 162831.0, 167141.0]","[12612.0, 15398.0, 16586.0, 21954.0]","[489468.0, 534079.0, 552086.0, 543970.0]","[1456.52, 1658.39, 2431.12, 2939.37]"
